ID	SubSystem	Description	Current Value	Message	Kept By	Available Domains	Edit?
3	PURCHASING	Default receiving posting area format	Standard		Terminal	"System, Store, User, *Terminal"	Yes
4	PURCHASING	Default grid for Receiving in Eagle for Windows Purchasing	Purchase Order Receiving		Terminal	"System, Store, User, *Terminal"	Yes
5	PURCHASING	Display Suggested Order Info (RSO thumbnail) in Purchasing?	Yes (Basic Suggested Order Information)		Terminal	"System, Store, User, *Terminal"	Yes
6	PURCHASING	Default posting area format in Eagle for Windows Purchasing	Standard		Terminal	"System, Store, User, *Terminal"	Yes
7	PURCHASING	Default PO Maintain Grid View	Purchase Order Default		Terminal	"System, Store, User, *Terminal"	Yes
8	INET	Store e-mail address			Store	*Store	Yes
9	SYSTEM	User e-mail address			User	*User	Yes
10	PURCHASING	Warn if posting an item that is an alternate part number	Yes		System	"*System, Store, User, Terminal"	Yes
11	A/R	"""Next By"" in Open Item Maintenance"	Customer/Job		Terminal	"System, Store, User, *Terminal"	Yes
14	SYSTEM	Grids will warn you when they have loaded this many records	200		Terminal	"System, Store, User, *Terminal"	Yes
16	POS	"In the open order viewer, show the item thumbnail with receipt status"	Yes		Terminal	"System, Store, User, *Terminal"	Yes
17	PURCHASING	Allow user to change/delete items tied to a POS Special Order	No		Terminal	"System, Store, User, *Terminal"	Yes
20	POS	Special Order Stocked Type Default for Big Header	Primary Vendor		Store	"System, *Store, User, Terminal"	Yes
23	INVENTORY	Number of years to keep Promotional History	2		Store	*Store	Yes
26	A/P	Accounts Payable Posting Closed Day	0		System	*System	Yes
51	POS	Adv S/O - Default PO# to BUYER to place item on Buyer's List	N=Don't default posting area's PO# to BUYER		Store	*Store	No
52	PURCHASING	Always enforce ordering multiple in Purchasing?	Prompt		System	"*System, Store"	Yes
53	PURCHASING	"Smart WinPUR item lookup by Sku, Mfg Part #, Alt Part #"	Yes		System	"*System, Store"	Yes
57	PURCHASING	Include UPC in WinPUR item lookup?	Yes		System	"*System, Store"	Yes
59	PURCHASING	Rounding Rule to use for ordering multiple	1=Round up		System	*System	Yes
62	SYSTEM	Allow setting up store groups	No		System	*System	Yes
65	TELECOMM	Ace ERP Dated Billing PO Number			System	*System	Yes
69	SYSTEM	Require password to stop tasks (scheduler and listener)?	Yes		System	"*System, Store, Terminal"	Yes
75	AOE	"Use ""Point-of-Sale"" or ""Order Entry"" in Ebrowser"	Point-of-Sale		Store	"System, *Store, Terminal"	No
79	E4WDI	Using Enhanced Forms on System (either standard or custom)	Yes		System	*System	Yes
81	SYSTEM	True Value Telecomm on System	No		System	*System	Yes
84	SYSTEM	Member of Do it Best Corp.	No		System	"*System, Store"	Yes
85	SYSTEM	Ace EagleVision Retailer	No		System	"*System, Store"	Yes
86	SYSTEM	Ace Telecomm on System	Yes		System	*System	Yes
